ID,Title,State,URL,Labels,Created At
2606,Fixes to issue #2522 Enable Theming Checkbox,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/2606,,2024-12-10T05:55:54Z
3069,Allowing smaller images to show in the Workbench window,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3069,enhancement,2025-06-25T20:35:17Z
3397,Fix for multi threading issues in AnnotationMap,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/3397,,2025-10-13T07:39:02Z
2795,[Bug] Method parameters cannot be announced by Screen Reader,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2795,"bug, accessibility",2025-02-13T03:25:21Z
3721,Handle zero-width characters properly in code minings,closed,https://github.com/eclipse-platform/eclipse.platform.ui/pull/3721,,2026-02-02T18:10:16Z
1359,Allow custom partitioning for Generic Text Editor ,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/1359,enhancement,2023-12-02T22:53:14Z
2522,Enable theming preference check box is not working as expected and forces to restart twice,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2522,"bug, good first issue",2024-11-18T14:47:32Z
805,Eclipse accelerator keys do not work in terminal,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/805,,2023-06-07T00:29:30Z
426,Provide missing Databinding methods for the generified variants of the now deleted non-generic variants,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/426,,2022-10-24T13:02:05Z
2815,UI difference in Composite after migrating eclipse based application from version 4.15 to 4.26,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2815,"bug, needinfo",2025-02-25T10:34:38Z
2349,SWT org.eclipse.swt.widgets.Menu: a very tall menu exceeding the screen when scrolled has the effect to blank the neighboring menus,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2349,"bug, Linux",2024-10-01T19:57:28Z
3712,Clean Code for bundles/org.eclipse.e4.ui.workbench.renderers.swt,closed,https://github.com/eclipse-platform/eclipse.platform.ui/pull/3712,cleanup,2026-01-31T03:46:36Z
664,JFace: org.eclipse.jface.fieldassist.ControlDecoration.removeControlListeners() should check if control is already disposed,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/664,,2023-03-28T13:36:18Z
2507,"FindReplaceOverlay: Add ""skip replace"" button",open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/2507,"help wanted, usability",2024-11-08T14:05:56Z
3680,Migrate TestFailReporter to JUnit 5 TestFailExtension,closed,https://github.com/eclipse-platform/eclipse.platform.ui/pull/3680,,2026-01-16T10:22:03Z
3704,Clean Code for bundles/org.eclipse.ui.workbench,closed,https://github.com/eclipse-platform/eclipse.platform.ui/pull/3704,cleanup,2026-01-27T04:48:48Z
